TeamId,TeamName,SubmissionDate,Score
29226,tR@veller,"2012-11-28 21:49:38",0.00000
29226,tR@veller,"2012-11-29 05:53:48",0.76076
34454,"Raghavendra Rao","2013-02-11 17:35:40",0.77033
34454,"Raghavendra Rao","2013-02-18 17:00:18",0.78468
34454,"Raghavendra Rao","2013-02-20 17:17:28",0.78947
46482,"Mario Filho","2013-06-08 19:56:39",0.71291
46482,"Mario Filho","2013-06-08 20:34:54",0.76555
50158,Jessen,"2013-06-16 21:31:45",0.77990
71669,"Simon Chiu","2014-01-14 04:29:44",0.76555
74367,"Veerasak Kritsanapraphan","2014-01-31 04:26:37",0.79425
105326,J.Ramirezc,"2014-07-11 10:05:36",0.73684
105326,J.Ramirezc,"2014-07-15 07:00:52",0.77511
105326,J.Ramirezc,"2014-07-15 07:05:32",0.77990
105326,J.Ramirezc,"2014-07-15 07:32:29",0.78468
107300,threecourse,"2014-07-26 13:32:07",0.72727
107300,threecourse,"2014-07-27 10:26:57",0.76555
107300,threecourse,"2014-07-27 13:56:19",0.77990
107300,threecourse,"2014-07-27 13:56:46",0.78947
109392,Luke200,"2014-08-03 08:48:30",0.76555
109392,Luke200,"2014-08-03 09:32:48",0.77990
115020,Five-seveN,"2014-09-02 15:59:03",0.70334
115020,Five-seveN,"2014-09-02 16:07:30",0.77511
115020,Five-seveN,"2014-09-02 17:05:52",0.78468
117113,akrot,"2014-09-15 06:01:41",0.78468
117113,akrot,"2014-09-15 06:16:46",0.79425
122025,"Zhensong Ren","2014-10-19 21:55:00",0.76555
124607,Daniyal,"2014-11-05 15:27:14",0.76555
74367,"Veerasak Kritsanapraphan","2014-11-13 10:42:05",0.79904
127721,"Riley Dallas","2014-11-23 19:43:08",0.62679
127721,"Riley Dallas","2014-11-23 20:02:32",0.76555
127721,"Riley Dallas","2014-11-23 20:35:49",0.78468
127721,"Riley Dallas","2014-11-24 05:02:08",0.80861
124607,Daniyal,"2014-11-24 11:36:39",0.77990
136703,"ilgo zen","2015-01-03 13:41:55",0.23444
136703,"ilgo zen","2015-01-03 13:44:22",0.76555
126588,billyClanton,"2015-01-21 23:34:27",0.62679
126588,billyClanton,"2015-01-22 01:51:28",0.76076
126588,billyClanton,"2015-01-22 01:53:47",0.76555
126588,billyClanton,"2015-01-22 02:16:36",0.77511
146980,AntonK,"2015-02-17 16:20:45",0.76555
146980,AntonK,"2015-02-18 10:02:29",0.78468
146980,AntonK,"2015-02-19 12:09:26",0.78947
146980,AntonK,"2015-02-19 16:00:56",0.79425
146980,AntonK,"2015-02-23 13:37:38",0.79904
154372,Tokosa,"2015-03-12 05:40:43",0.75119
154372,Tokosa,"2015-03-12 07:51:47",0.77033
154372,Tokosa,"2015-03-13 01:03:20",0.81339
154652,sxzircon,"2015-03-13 16:13:42",0.76076
154652,sxzircon,"2015-03-16 22:01:01",0.77990
154652,sxzircon,"2015-03-17 12:07:46",0.79425
154652,sxzircon,"2015-03-17 12:53:36",0.79904
154652,sxzircon,"2015-03-17 15:26:31",0.81818
157615,Salman,"2015-03-22 13:20:15",0.78468
157615,Salman,"2015-03-22 13:43:44",0.79904
154652,sxzircon,"2015-03-23 21:47:44",0.82775
154652,sxzircon,"2015-03-26 22:27:26",0.83253
161539,ngergoo,"2015-03-31 12:17:49",0.79425
161539,ngergoo,"2015-04-01 09:18:06",0.81339
161539,ngergoo,"2015-04-02 10:38:48",0.81818
161539,ngergoo,"2015-04-02 13:11:22",0.82296
163028,DrozdVaym,"2015-04-04 16:12:38",0.76555
163028,DrozdVaym,"2015-04-04 16:26:15",0.77990
166222,mr_booya,"2015-04-12 07:21:08",0.62679
166222,mr_booya,"2015-04-12 07:53:18",0.76555
178947,"Jahnab Kr. Deka","2015-05-06 19:17:00",0.78468
181181,윤선Hwang,"2015-05-13 12:01:18",0.77990
182336,Mangeclous,"2015-05-17 11:57:43",0.62679
182336,Mangeclous,"2015-05-17 17:51:13",0.76555
182336,Mangeclous,"2015-05-17 19:19:28",0.77990
182336,Mangeclous,"2015-05-18 17:53:17",0.78468
184726,"Dimos Kapetis","2015-05-25 12:31:21",0.76076
190391,"anuj madaan","2015-06-15 19:33:11",0.71770
190391,"anuj madaan","2015-06-15 19:55:11",0.73205
192823,quant1907,"2015-06-25 08:19:25",0.71291
196262,"FSBDS Johnny","2015-07-05 18:58:32",0.72248
196348,minjonghyeon,"2015-07-06 04:55:06",0.62679
196348,minjonghyeon,"2015-07-06 05:07:13",0.76555
197975,tdod,"2015-07-10 17:49:45",0.76555
197975,tdod,"2015-07-11 22:18:31",0.78468
197975,tdod,"2015-07-11 22:43:08",0.80382
196262,"FSBDS Johnny","2015-07-12 10:47:52",0.76555
196262,"FSBDS Johnny","2015-07-21 12:45:05",0.79425
196262,"FSBDS Johnny","2015-07-28 15:24:35",0.80382
206884,"Pavel Artemkin","2015-08-08 01:48:22",0.46889
206884,"Pavel Artemkin","2015-08-08 02:24:58",0.68421
206884,"Pavel Artemkin","2015-08-08 10:19:32",0.73205
206884,"Pavel Artemkin","2015-08-08 22:24:07",0.75119
206884,"Pavel Artemkin","2015-08-08 22:32:19",0.76555
206884,"Pavel Artemkin","2015-08-08 23:03:52",0.77033
211456,BlackArrow,"2015-08-28 00:17:04",0.75119
184726,"Dimos Kapetis","2015-08-31 15:16:36",0.81818
214769,"Felix Bossio","2015-09-04 22:44:30",0.80382
214769,"Felix Bossio","2015-09-06 04:52:39",0.80861
216752,Kwame,"2015-09-12 14:57:28",0.74641
216752,Kwame,"2015-09-12 15:17:28",0.76076
216752,Kwame,"2015-09-12 15:39:18",0.77990
218176,"Saurabh Chhajed","2015-09-17 04:32:36",0.76555
218176,"Saurabh Chhajed","2015-09-17 06:58:28",0.77033
107395,"Alexander Guschin","2015-09-24 12:26:52",0.73205
220858,"Mark Badros","2015-09-28 13:46:57",0.78468
220858,"Mark Badros","2015-09-30 23:57:44",0.80382
231794,myui,"2015-10-28 10:16:39",0.76555
216752,Kwame,"2015-11-02 17:17:56",0.79425
216752,Kwame,"2015-11-02 17:51:13",0.79904
238580,michaelee,"2015-11-13 04:56:18",0.72248
238580,michaelee,"2015-11-13 04:59:10",0.76555
241270,kgray,"2015-11-20 06:27:27",0.76076
241270,kgray,"2015-11-20 20:11:04",0.76555
241954,"Pathan Salman Khan","2015-11-22 11:54:47",0.50717
244438,baskets2k,"2015-11-27 06:52:33",0.75119
249593,Nisimus,"2015-12-06 19:10:06",0.76076
251964,River,"2015-12-11 12:16:02",0.76555
216752,Kwame,"2016-01-08 19:37:33",0.80382
262111,"Vitor Alcântara Batista","2016-01-09 17:12:43",0.69856
262111,"Vitor Alcântara Batista","2016-01-18 11:19:46",0.71770
262111,"Vitor Alcântara Batista","2016-01-18 11:40:24",0.75598
265668,ashukumar27,"2016-01-20 10:16:10",0.78468
262111,"Vitor Alcântara Batista","2016-01-21 11:18:50",0.76555
262111,"Vitor Alcântara Batista","2016-01-21 12:21:50",0.90430
262111,"Vitor Alcântara Batista","2016-01-21 12:30:40",0.93779
267630,adeel,"2016-01-26 12:30:37",0.78468
267630,adeel,"2016-01-26 13:09:36",0.80382
268364,lucasDelboni,"2016-01-28 20:12:07",0.76555
249593,Nisimus,"2016-02-06 15:25:25",0.78468
249593,Nisimus,"2016-02-07 18:53:56",0.78947
276342,cwodge,"2016-02-15 11:49:09",0.76555
276342,cwodge,"2016-02-15 12:11:29",0.78468
276342,cwodge,"2016-02-15 14:09:18",0.80382
281680,"deepak 5","2016-02-24 06:07:37",0.76555
